date,region,product_category,revenue_actual,revenue_budget,revenue_forecast,cogs,operating_expenses
2024-01-01,London,Electronics,285000,270000,272000,156750,71250
2024-01-01,London,Clothing,142000,150000,148000,85200,35500
2024-01-01,South East,Electronics,198000,195000,196000,108900,49500
2024-01-01,South East,Food & Beverage,95000,90000,92000,66500,19000
2024-01-01,North West,Electronics,145000,165000,160000,79750,36250
2024-01-01,North West,Clothing,88000,100000,97000,52800,22000
2024-01-01,Midlands,Electronics,165000,162000,163000,90750,41250
2024-01-01,Midlands,Food & Beverage,72000,70000,71000,50400,14400
2024-02-01,London,Electronics,295000,275000,282000,162250,73750
2024-02-01,London,Clothing,148000,155000,151000,88800,37000
2024-02-01,South East,Electronics,208000,200000,202000,114400,52000
2024-02-01,South East,Food & Beverage,98000,93000,95000,68600,19600
2024-02-01,North West,Electronics,140000,168000,163000,77000,35000
2024-02-01,North West,Clothing,85000,103000,100000,51000,21250
2024-02-01,Midlands,Electronics,170000,166000,167000,93500,42500
2024-02-01,Midlands,Food & Beverage,75000,72000,73000,52500,15000
2024-03-01,London,Electronics,310000,280000,292000,170500,77500
2024-03-01,London,Clothing,155000,158000,155000,93000,38750
2024-03-01,South East,Electronics,215000,205000,208000,118250,53750
2024-03-01,South East,Food & Beverage,102000,96000,98000,71400,20400
2024-03-01,North West,Electronics,138000,170000,165000,75900,34500
2024-03-01,North West,Clothing,82000,105000,102000,49200,20500
2024-03-01,Midlands,Electronics,175000,170000,171000,96250,43750
2024-03-01,Midlands,Food & Beverage,78000,74000,75000,54600,15600
2024-04-01,London,Electronics,305000,282000,295000,167750,76250
2024-04-01,London,Clothing,150000,160000,157000,90000,37500
2024-04-01,South East,Electronics,220000,208000,212000,121000,55000
2024-04-01,South East,Food & Beverage,100000,98000,100000,70000,20000
2024-04-01,North West,Electronics,142000,172000,167000,78100,35500
2024-04-01,North West,Clothing,80000,107000,104000,48000,20000
2024-04-01,Midlands,Electronics,178000,173000,174000,97900,44500
2024-04-01,Midlands,Food & Beverage,80000,76000,77000,56000,16000
